Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_E,31.43,27.4,38.33,90476,62%,26.17,17.6,18.79,66%,92%,87%,91%,63%,78%,67%,84%,87%,100%,77%,81%,88%,83%,85%,63%,70%,85%,67%,77%,71%,70%,73%
Field_C,15.46,34.73,31.13,64840,86%,28.53,11.29,36.86,80%,70%,86%,72%,87%,85%,99%,89%,60%,83%,91%,65%,95%,76%,79%,71%,89%,67%,87%,71%,95%,78%,93%
Field_E,20.35,22.81,53.93,53921,82%,31.86,23.52,13.08,76%,96%,99%,93%,88%,100%,66%,93%,88%,100%,94%,88%,89%,91%,92%,70%,69%,63%,83%,85%,100%,85%,89%
Field_A,35.49,32.94,33.21,67625,100%,14.36,12.48,16.07,94%,81%,73%,87%,93%,81%,75%,69%,69%,86%,86%,72%,78%,82%,89%,81%,96%,92%,75%,67%,84%,73%,77%
Field_E,25.57,31.06,58.65,42240,63%,36.97,17.4,37.39,80%,93%,61%,60%,95%,94%,100%,100%,86%,81%,69%,87%,65%,64%,95%,90%,71%,60%,94%,80%,98%,99%,99%
Field_C,31.94,34.25,57.04,88115,95%,44.1,9.86,37.84,66%,60%,85%,75%,98%,100%,82%,89%,77%,75%,87%,100%,93%,83%,98%,61%,94%,98%,90%,65%,100%,72%,96%
Field_D,22.7,33.43,45.29,65984,74%,37.3,7.04,15.33,62%,72%,69%,99%,79%,79%,99%,60%,78%,75%,81%,84%,68%,66%,84%,79%,89%,77%,92%,64%,85%,68%,82%
Field_C,15.8,24.2,50.62,13541,64%,44.49,14.0,29.32,73%,94%,68%,82%,79%,81%,83%,86%,74%,61%,61%,72%,98%,85%,81%,66%,94%,67%,97%,90%,65%,81%,64%
Field_B,18.01,24.87,56.48,81024,81%,40.82,19.86,39.24,81%,73%,74%,92%,96%,97%,84%,77%,95%,71%,80%,89%,65%,89%,67%,99%,93%,63%,84%,81%,61%,64%,92%
Field_B,16.59,29.87,62.34,34432,73%,20.78,17.24,20.98,76%,74%,96%,80%,65%,67%,94%,97%,77%,61%,60%,67%,65%,70%,92%,94%,79%,65%,93%,90%,69%,60%,97%
Field_C,11.69,28.4,43.26,15196,78%,35.21,7.48,24.46,79%,87%,98%,91%,99%,73%,83%,70%,67%,61%,65%,95%,80%,69%,93%,67%,60%,88%,91%,86%,93%,81%,86%
Field_A,23.79,33.16,45.13,52254,64%,48.32,13.71,39.81,89%,69%,81%,69%,85%,60%,69%,73%,88%,94%,91%,99%,96%,84%,75%,77%,74%,72%,93%,91%,84%,74%,82%
Field_D,20.58,25.05,65.94,44903,89%,16.29,16.04,16.8,69%,76%,88%,91%,61%,99%,69%,96%,65%,89%,80%,84%,99%,64%,68%,93%,73%,81%,77%,89%,62%,63%,71%
Field_A,14.58,33.37,67.71,95664,78%,37.93,15.06,39.77,66%,93%,84%,74%,83%,83%,77%,91%,86%,74%,98%,96%,84%,84%,71%,68%,67%,88%,88%,93%,79%,79%,95%
Field_E,10.75,30.14,37.47,63273,98%,49.75,18.52,35.87,84%,61%,83%,77%,98%,98%,62%,100%,73%,77%,70%,87%,92%,97%,85%,93%,65%,66%,82%,68%,64%,64%,80%
Field_C,34.49,33.76,65.93,60446,71%,40.14,5.61,18.09,73%,97%,67%,74%,84%,81%,75%,68%,96%,72%,72%,68%,73%,79%,95%,95%,67%,77%,61%,90%,62%,75%,93%
Field_D,39.2,21.92,35.09,70650,63%,48.95,16.52,16.07,69%,90%,97%,78%,82%,74%,73%,85%,78%,72%,94%,97%,100%,67%,96%,70%,82%,63%,67%,62%,63%,80%,83%
Field_E,11.07,34.44,65.08,90631,64%,28.52,20.5,37.49,75%,86%,61%,60%,81%,63%,91%,66%,71%,74%,94%,74%,86%,90%,84%,95%,74%,67%,77%,88%,97%,73%,96%
Field_C,18.43,29.11,36.68,54247,83%,38.48,5.24,25.89,96%,76%,99%,60%,71%,96%,89%,74%,96%,79%,100%,97%,68%,60%,84%,64%,71%,61%,91%,63%,76%,85%,70%
Field_B,37.32,25.44,61.85,63292,97%,11.64,15.9,30.24,69%,91%,89%,94%,92%,78%,67%,78%,84%,98%,99%,72%,66%,71%,92%,94%,70%,72%,84%,94%,77%,87%,90%
Field_D,28.41,20.67,38.22,13592,96%,26.7,6.92,14.68,70%,94%,96%,88%,72%,97%,98%,89%,79%,83%,72%,92%,65%,65%,85%,74%,92%,99%,74%,90%,73%,98%,62%
Field_B,11.61,33.11,64.95,82436,83%,26.29,20.01,35.49,86%,61%,98%,71%,89%,91%,94%,89%,99%,70%,86%,66%,69%,86%,84%,71%,80%,81%,97%,96%,93%,95%,97%
Field_A,32.04,29.46,65.62,29247,80%,28.88,5.23,15.25,97%,86%,85%,92%,92%,92%,64%,86%,85%,90%,86%,66%,66%,100%,60%,72%,60%,84%,91%,88%,91%,93%,84%
Field_A,33.6,27.31,49.43,43219,72%,29.69,16.74,19.18,61%,89%,63%,70%,75%,98%,90%,90%,83%,84%,87%,77%,97%,98%,63%,100%,60%,93%,94%,87%,78%,61%,72%
Field_E,27.57,22.47,45.5,17803,94%,43.13,21.55,26.65,99%,87%,63%,81%,93%,63%,66%,91%,97%,82%,62%,73%,77%,85%,72%,98%,87%,85%,68%,79%,62%,96%,70%
Field_A,26.47,31.66,46.55,33911,88%,47.33,12.39,19.6,93%,64%,96%,82%,92%,61%,80%,78%,72%,77%,66%,82%,99%,87%,99%,94%,98%,90%,95%,93%,63%,66%,72%
Field_D,36.01,22.36,34.42,84621,62%,23.59,13.29,29.81,73%,95%,83%,90%,70%,60%,97%,84%,96%,63%,64%,86%,75%,80%,72%,88%,69%,63%,93%,100%,66%,78%,79%
Field_D,38.07,33.03,51.17,19425,98%,38.59,10.38,18.45,90%,77%,88%,79%,63%,78%,99%,71%,62%,92%,88%,76%,88%,64%,100%,86%,65%,92%,99%,87%,70%,84%,95%
Field_E,24.84,30.02,53.25,60231,69%,25.12,17.93,22.07,60%,62%,76%,71%,87%,62%,69%,88%,86%,87%,99%,99%,81%,72%,71%,99%,70%,93%,71%,83%,98%,65%,91%
Field_D,18.32,29.75,49.91,23442,92%,22.32,14.0,19.4,67%,99%,64%,60%,95%,93%,91%,77%,98%,75%,94%,86%,63%,61%,74%,84%,99%,64%,74%,79%,98%,96%,81%
Field_B,27.74,23.22,61.94,99161,96%,37.57,16.63,38.79,91%,95%,76%,78%,65%,63%,66%,71%,97%,94%,71%,84%,60%,63%,86%,95%,86%,62%,61%,80%,84%,77%,90%
Field_C,24.67,27.01,60.75,58559,91%,46.79,20.33,25.55,100%,68%,69%,99%,73%,69%,96%,77%,98%,92%,71%,78%,86%,86%,67%,66%,65%,99%,83%,70%,68%,71%,84%
Field_C,36.74,26.28,57.28,15945,71%,38.54,6.47,31.33,89%,68%,86%,94%,94%,67%,91%,77%,73%,86%,65%,65%,92%,94%,96%,68%,89%,96%,60%,94%,62%,93%,94%
Field_A,22.48,28.56,46.97,89619,77%,30.51,18.72,38.43,96%,93%,86%,76%,81%,92%,60%,94%,63%,61%,76%,60%,64%,93%,78%,79%,78%,87%,71%,91%,76%,66%,64%
Field_E,29.27,23.94,69.73,33131,63%,13.61,6.0,36.06,83%,75%,66%,77%,89%,85%,85%,84%,95%,97%,88%,95%,93%,73%,100%,74%,83%,93%,94%,64%,83%,93%,74%
Field_D,29.02,24.5,44.13,19853,61%,14.42,9.47,14.7,75%,70%,79%,90%,77%,91%,88%,92%,64%,94%,86%,90%,89%,95%,86%,90%,92%,66%,83%,68%,76%,79%,79%
Field_B,16.29,29.55,60.72,98431,65%,30.82,13.27,28.24,74%,85%,90%,95%,86%,90%,71%,70%,86%,71%,60%,82%,70%,84%,100%,72%,92%,84%,94%,73%,86%,76%,63%
Field_E,27.01,23.58,67.33,65238,78%,17.3,10.05,29.39,68%,80%,66%,64%,90%,88%,72%,69%,92%,87%,65%,81%,94%,62%,62%,67%,94%,88%,86%,70%,89%,74%,76%
Field_B,33.18,27.94,52.97,33143,61%,28.96,18.23,21.68,71%,95%,92%,81%,87%,68%,96%,84%,64%,80%,64%,84%,90%,72%,90%,91%,77%,79%,86%,100%,73%,80%,98%
Field_E,35.5,21.8,44.49,57869,69%,19.64,21.82,38.01,66%,90%,84%,60%,86%,90%,76%,87%,82%,70%,72%,95%,89%,83%,99%,89%,82%,75%,64%,60%,89%,61%,72%
Field_E,26.76,20.74,50.37,94954,82%,13.55,10.32,17.91,96%,64%,88%,70%,73%,80%,80%,63%,94%,62%,99%,93%,84%,80%,94%,87%,97%,67%,96%,72%,60%,88%,73%
Field_C,32.49,29.68,60.43,42795,84%,27.3,7.92,14.3,72%,79%,84%,90%,97%,97%,61%,85%,78%,72%,92%,67%,90%,98%,60%,97%,91%,80%,65%,77%,78%,81%,94%
Field_D,19.82,27.12,31.54,26215,97%,33.41,21.88,33.95,99%,71%,60%,81%,93%,89%,85%,85%,88%,67%,96%,79%,84%,84%,94%,69%,96%,88%,83%,76%,82%,65%,97%
Field_E,28.36,20.07,50.78,97991,93%,16.61,14.33,13.46,73%,76%,65%,82%,98%,95%,67%,86%,60%,99%,100%,69%,62%,91%,66%,98%,79%,77%,84%,69%,73%,92%,78%
Field_B,14.28,27.11,52.27,95494,78%,41.46,12.42,18.0,83%,71%,88%,61%,79%,72%,89%,60%,72%,89%,97%,77%,81%,69%,83%,69%,91%,100%,78%,94%,92%,77%,84%
Field_C,31.2,23.16,42.2,35437,86%,17.95,23.88,21.69,91%,60%,90%,71%,98%,64%,100%,76%,89%,80%,79%,81%,67%,66%,93%,77%,86%,82%,98%,92%,73%,94%,99%
Field_E,36.7,20.34,62.06,21439,69%,18.01,7.1,34.99,63%,60%,97%,86%,60%,95%,63%,60%,68%,92%,90%,81%,80%,89%,66%,77%,60%,65%,76%,62%,60%,61%,68%
Field_C,27.96,29.35,56.14,57694,88%,25.55,12.02,25.89,72%,64%,70%,95%,60%,69%,88%,97%,85%,82%,60%,70%,73%,99%,79%,61%,60%,86%,63%,79%,61%,87%,73%
Field_A,33.54,21.88,52.8,31585,60%,13.51,21.03,35.25,97%,79%,100%,98%,62%,98%,67%,78%,61%,67%,69%,82%,82%,71%,95%,90%,80%,71%,78%,78%,89%,92%,81%
Field_B,30.27,25.76,69.63,39260,77%,15.82,10.57,37.91,98%,64%,96%,85%,100%,99%,95%,60%,78%,86%,76%,62%,98%,65%,74%,64%,95%,88%,100%,78%,82%,99%,80%
Field_E,14.75,28.44,31.93,13871,99%,29.98,9.21,11.11,91%,99%,77%,86%,76%,86%,92%,94%,94%,60%,74%,83%,95%,98%,91%,95%,66%,97%,80%,71%,83%,63%,60%
Field_A,25.09,26.79,56.09,54046,67%,10.2,20.99,20.21,97%,85%,83%,82%,87%,82%,97%,74%,72%,75%,94%,93%,93%,93%,98%,63%,82%,82%,77%,77%,77%,73%,92%
Field_B,30.37,20.54,68.65,11788,94%,40.99,10.04,27.76,96%,69%,86%,100%,83%,87%,88%,89%,93%,90%,99%,83%,82%,60%,76%,69%,95%,64%,65%,74%,75%,75%,79%
Field_A,22.42,34.33,69.27,87122,92%,27.88,16.64,29.99,68%,62%,85%,88%,63%,89%,79%,88%,71%,95%,95%,67%,68%,84%,78%,82%,87%,67%,98%,78%,95%,94%,72%
Field_D,37.01,29.52,38.81,19020,68%,24.64,16.3,14.77,61%,71%,87%,64%,67%,76%,61%,93%,83%,65%,62%,62%,84%,77%,75%,86%,92%,76%,80%,62%,60%,87%,77%
Field_A,28.07,24.97,40.49,10819,77%,48.56,12.12,19.29,99%,93%,85%,65%,64%,89%,66%,85%,64%,78%,69%,99%,84%,95%,96%,78%,77%,100%,87%,76%,60%,77%,78%
Field_A,37.12,33.14,63.92,94995,97%,49.08,14.93,26.91,74%,79%,98%,65%,90%,100%,66%,80%,73%,91%,64%,81%,81%,62%,67%,89%,65%,72%,92%,66%,65%,91%,81%
Field_A,29.96,34.45,56.83,66840,91%,37.59,5.41,17.69,66%,75%,78%,88%,67%,75%,96%,79%,70%,72%,69%,87%,70%,85%,83%,96%,98%,98%,87%,85%,69%,62%,82%
Field_C,14.78,23.73,44.09,69324,83%,33.64,18.28,27.79,82%,78%,75%,82%,66%,93%,82%,85%,94%,65%,68%,96%,72%,90%,80%,72%,82%,83%,70%,98%,63%,90%,71%
Field_B,21.52,30.5,48.2,84904,68%,13.6,22.12,14.03,90%,79%,97%,94%,100%,90%,77%,77%,60%,64%,64%,79%,93%,85%,84%,87%,74%,76%,87%,88%,65%,63%,91%
Field_A,37.3,24.11,48.07,36676,86%,17.33,13.61,33.14,79%,98%,93%,90%,62%,63%,94%,88%,93%,71%,93%,66%,87%,96%,69%,84%,88%,68%,83%,78%,84%,83%,99%
Field_B,39.29,31.66,31.01,60111,72%,37.33,14.87,38.28,95%,70%,98%,68%,96%,66%,64%,63%,70%,62%,64%,90%,87%,80%,93%,82%,92%,85%,72%,79%,70%,84%,91%
Field_A,17.06,23.01,47.48,54496,63%,29.55,14.09,10.97,86%,75%,88%,90%,88%,68%,91%,92%,75%,86%,68%,71%,81%,88%,60%,93%,77%,98%,90%,74%,93%,90%,91%
Field_E,22.74,23.53,55.89,36179,81%,47.73,7.9,14.07,73%,88%,72%,67%,76%,92%,84%,70%,70%,60%,60%,87%,89%,87%,75%,91%,97%,83%,100%,96%,99%,93%,100%
Field_A,39.07,29.57,36.25,88569,81%,48.78,20.79,35.74,97%,76%,69%,83%,79%,72%,91%,77%,76%,80%,84%,69%,82%,67%,84%,83%,85%,68%,76%,88%,100%,97%,81%
Field_B,12.17,25.25,43.74,89914,74%,10.17,16.17,24.59,96%,82%,87%,67%,92%,85%,86%,84%,100%,95%,68%,66%,92%,98%,66%,74%,78%,61%,79%,84%,95%,79%,67%
Field_B,20.28,24.18,40.04,79273,65%,34.51,24.8,18.01,83%,92%,87%,98%,89%,64%,73%,81%,88%,91%,71%,60%,66%,94%,96%,91%,85%,79%,97%,87%,78%,72%,84%
Field_B,13.82,26.99,61.55,84364,66%,17.56,23.63,25.93,66%,83%,89%,89%,96%,86%,100%,78%,91%,97%,75%,61%,96%,60%,86%,77%,66%,100%,93%,93%,85%,78%,72%
Field_E,10.31,32.79,61.24,77460,72%,10.2,15.07,34.75,82%,94%,85%,73%,66%,72%,83%,89%,84%,70%,60%,93%,94%,64%,73%,60%,91%,92%,81%,65%,97%,82%,82%
Field_B,17.63,24.8,57.3,25240,84%,46.52,9.79,38.68,67%,85%,79%,100%,77%,88%,83%,74%,91%,82%,82%,74%,75%,68%,69%,71%,78%,92%,67%,72%,89%,74%,89%
Field_D,12.5,33.6,63.86,39889,76%,26.98,21.57,35.3,84%,73%,85%,73%,72%,67%,60%,61%,77%,77%,67%,96%,60%,81%,84%,66%,88%,76%,76%,75%,66%,83%,60%
Field_B,25.93,24.35,35.16,51307,89%,40.81,20.11,20.12,61%,91%,87%,91%,77%,81%,73%,94%,89%,96%,74%,74%,74%,85%,69%,80%,81%,74%,67%,89%,77%,88%,97%
Field_D,22.97,23.64,59.9,51934,69%,37.76,15.09,39.23,66%,81%,66%,83%,76%,82%,82%,84%,100%,84%,73%,94%,83%,68%,83%,85%,100%,97%,83%,83%,86%,97%,95%
Field_C,38.65,21.44,36.16,63468,90%,22.42,15.23,18.53,98%,100%,70%,72%,63%,95%,77%,64%,68%,61%,63%,71%,76%,61%,60%,91%,72%,84%,92%,82%,96%,66%,94%
Field_A,19.83,30.29,48.93,57321,85%,27.31,5.23,31.75,62%,80%,81%,68%,82%,69%,100%,90%,82%,63%,94%,95%,81%,97%,75%,95%,77%,79%,89%,96%,94%,68%,100%
Field_E,10.41,28.3,30.58,42558,97%,30.31,19.57,12.86,78%,74%,72%,88%,93%,70%,62%,84%,72%,70%,64%,65%,72%,72%,86%,75%,75%,86%,69%,86%,60%,98%,61%
Field_D,34.13,24.89,45.06,25867,78%,43.53,7.26,29.8,63%,73%,82%,97%,70%,69%,62%,73%,84%,80%,67%,91%,70%,63%,99%,79%,66%,97%,90%,87%,64%,79%,100%
Field_D,23.69,27.49,67.28,35235,87%,25.28,10.79,20.4,64%,84%,85%,60%,61%,75%,82%,72%,87%,91%,63%,77%,64%,65%,89%,66%,77%,79%,74%,60%,78%,65%,84%
Field_D,12.54,34.52,57.3,59813,66%,46.61,12.4,27.01,85%,97%,65%,71%,70%,79%,96%,68%,84%,89%,71%,90%,85%,96%,100%,65%,83%,81%,60%,99%,83%,98%,92%
Field_D,32.14,22.09,43.95,14512,87%,33.21,14.69,37.08,91%,74%,92%,77%,62%,70%,92%,72%,72%,89%,89%,89%,89%,100%,98%,87%,86%,75%,70%,90%,69%,91%,79%
Field_E,24.56,33.03,46.08,95648,85%,25.62,17.2,21.6,98%,65%,63%,95%,71%,65%,61%,98%,77%,68%,88%,100%,62%,60%,67%,68%,83%,92%,70%,82%,69%,63%,91%
Field_A,11.03,24.06,63.3,63099,83%,39.36,14.15,11.76,98%,88%,76%,88%,82%,92%,89%,88%,87%,86%,91%,91%,99%,96%,87%,76%,94%,63%,60%,91%,95%,98%,94%
Field_E,30.25,22.02,59.04,16855,66%,10.94,8.39,30.59,92%,87%,78%,87%,69%,94%,93%,75%,72%,69%,85%,70%,95%,79%,71%,78%,83%,73%,95%,67%,63%,83%,95%
Field_D,32.27,25.0,55.72,25121,70%,17.85,7.62,28.2,83%,66%,68%,60%,95%,67%,82%,90%,81%,97%,67%,81%,84%,66%,77%,73%,95%,88%,99%,62%,67%,96%,63%
Field_B,39.99,25.59,44.58,68076,94%,13.62,10.64,13.27,83%,92%,98%,92%,93%,77%,72%,75%,61%,75%,63%,79%,73%,82%,83%,64%,99%,78%,60%,89%,72%,70%,74%
Field_A,26.94,23.54,46.39,96600,93%,34.73,8.55,14.88,71%,100%,71%,62%,86%,88%,96%,83%,73%,94%,78%,91%,96%,77%,68%,96%,91%,91%,64%,62%,91%,78%,97%
Field_D,35.59,23.8,55.53,48459,67%,35.65,22.46,22.29,72%,85%,84%,80%,78%,100%,77%,69%,88%,87%,76%,73%,67%,100%,96%,83%,86%,73%,70%,69%,87%,70%,88%
Field_E,22.56,24.34,39.46,92082,99%,16.3,21.66,15.91,99%,67%,94%,85%,86%,95%,61%,62%,89%,85%,81%,69%,95%,91%,80%,85%,68%,79%,96%,74%,97%,72%,74%
Field_B,15.18,33.49,66.63,75038,95%,38.22,8.46,29.08,70%,72%,76%,70%,82%,86%,61%,85%,69%,68%,97%,82%,88%,95%,81%,88%,60%,84%,67%,78%,77%,95%,83%
Field_B,15.71,25.65,62.46,92867,85%,20.09,20.88,39.71,94%,79%,76%,66%,94%,87%,91%,97%,78%,60%,95%,91%,88%,95%,97%,82%,100%,100%,75%,93%,82%,91%,85%
Field_D,39.12,25.6,50.85,15741,64%,30.24,23.22,24.3,64%,96%,89%,64%,60%,77%,87%,92%,98%,99%,88%,71%,83%,91%,87%,74%,64%,91%,68%,74%,60%,95%,79%
Field_D,34.82,29.65,31.03,15408,79%,14.09,21.0,12.26,60%,77%,97%,90%,81%,71%,97%,90%,67%,76%,66%,90%,90%,75%,67%,92%,61%,69%,98%,67%,94%,93%,85%
Field_A,23.37,29.72,53.17,91818,77%,45.84,17.57,26.16,60%,69%,75%,69%,84%,75%,77%,75%,96%,60%,96%,67%,97%,63%,85%,83%,69%,78%,70%,86%,98%,78%,86%
Field_B,10.44,27.19,35.43,65435,70%,48.0,7.21,26.87,96%,70%,98%,75%,99%,98%,73%,87%,78%,65%,69%,97%,62%,75%,96%,67%,79%,87%,82%,73%,80%,99%,75%
Field_C,39.42,23.48,46.56,32155,94%,32.62,6.19,34.84,81%,82%,61%,90%,89%,81%,77%,62%,65%,86%,64%,80%,63%,62%,67%,66%,88%,95%,77%,89%,88%,80%,82%
Field_D,27.68,22.05,40.59,76214,100%,43.86,22.87,18.71,97%,77%,97%,95%,73%,90%,70%,67%,94%,63%,87%,89%,81%,70%,91%,69%,71%,81%,85%,83%,67%,74%,67%
Field_B,38.13,26.71,30.1,74832,72%,16.38,17.87,11.0,94%,82%,85%,74%,77%,87%,64%,95%,84%,81%,81%,93%,85%,79%,99%,71%,78%,63%,74%,83%,90%,64%,85%
Field_A,23.42,29.99,45.06,62253,66%,27.37,15.69,16.57,64%,81%,61%,74%,63%,73%,64%,94%,60%,71%,64%,84%,71%,88%,93%,72%,78%,95%,89%,97%,70%,64%,81%
Field_C,38.78,27.7,60.21,77914,78%,25.69,23.58,35.42,64%,71%,79%,70%,97%,95%,68%,91%,98%,60%,72%,77%,98%,88%,79%,65%,73%,69%,99%,60%,63%,91%,60%
Field_A,25.2,25.86,36.34,14234,82%,41.51,6.48,14.1,85%,89%,71%,97%,80%,95%,67%,98%,64%,84%,63%,61%,87%,86%,65%,88%,99%,83%,61%,68%,96%,63%,96%
Field_B,13.21,26.28,68.71,60731,82%,12.11,18.35,33.9,74%,75%,76%,60%,64%,64%,61%,80%,61%,74%,84%,96%,94%,78%,84%,86%,63%,92%,83%,99%,78%,87%,66%
Field_E,20.63,32.46,57.0,21791,98%,40.89,17.43,36.64,77%,66%,84%,78%,77%,68%,68%,72%,90%,72%,66%,73%,72%,88%,67%,82%,67%,93%,67%,72%,71%,97%,78%
Field_D,14.61,28.59,69.8,83719,64%,37.11,12.43,39.08,96%,90%,64%,88%,92%,80%,65%,79%,66%,82%,96%,64%,60%,65%,75%,60%,76%,69%,77%,73%,70%,70%,79%
Field_E,38.89,21.17,62.51,76487,74%,44.93,6.17,17.87,73%,97%,67%,60%,73%,94%,88%,99%,82%,70%,61%,87%,76%,84%,97%,66%,76%,97%,73%,93%,96%,60%,81%
Field_B,11.04,25.42,60.33,88907,76%,46.55,22.05,30.92,74%,73%,94%,60%,84%,70%,84%,83%,77%,82%,63%,62%,99%,99%,85%,73%,95%,81%,80%,96%,67%,84%,92%
Field_B,23.33,20.34,46.05,31619,82%,30.24,17.45,26.38,74%,71%,63%,99%,95%,85%,99%,68%,96%,98%,83%,92%,81%,90%,77%,68%,72%,69%,76%,100%,63%,85%,74%
Field_D,36.92,33.2,59.4,19419,63%,30.48,13.67,16.62,86%,75%,94%,60%,96%,93%,68%,60%,70%,72%,77%,60%,88%,87%,60%,100%,75%,63%,73%,87%,80%,97%,96%
Field_D,31.89,22.69,38.54,11934,76%,41.08,24.23,39.49,60%,93%,95%,88%,99%,96%,92%,95%,63%,98%,87%,74%,81%,60%,76%,77%,72%,67%,88%,62%,81%,72%,77%
Field_D,11.22,21.18,44.18,86689,86%,41.1,7.8,36.63,84%,75%,96%,84%,75%,89%,66%,80%,70%,72%,100%,61%,83%,84%,75%,74%,65%,87%,85%,96%,71%,77%,76%
Field_D,19.61,21.41,48.07,67858,99%,29.71,13.28,36.23,69%,88%,83%,75%,68%,99%,62%,82%,69%,81%,87%,76%,63%,65%,74%,67%,81%,91%,64%,74%,95%,83%,85%
Field_B,20.01,28.21,69.4,27366,99%,28.3,24.26,19.4,92%,61%,61%,82%,65%,64%,60%,98%,87%,84%,69%,87%,96%,69%,82%,97%,66%,77%,83%,82%,94%,86%,98%
Field_D,14.53,20.85,50.99,57813,80%,32.44,23.85,39.11,81%,98%,64%,96%,81%,96%,67%,88%,77%,70%,79%,100%,75%,66%,65%,98%,71%,80%,86%,85%,60%,92%,71%
Field_D,32.15,25.89,45.32,20451,72%,25.32,9.34,33.26,68%,64%,90%,97%,74%,69%,62%,72%,63%,68%,68%,86%,64%,96%,66%,60%,75%,61%,83%,83%,64%,73%,63%
Field_B,10.4,28.87,58.87,20934,95%,16.62,20.19,31.27,92%,64%,62%,65%,67%,96%,67%,81%,72%,70%,96%,61%,88%,79%,61%,67%,78%,70%,71%,60%,74%,98%,87%
Field_A,20.81,25.33,57.2,30999,72%,27.55,21.35,33.67,87%,99%,61%,83%,72%,83%,89%,74%,87%,71%,92%,74%,81%,69%,91%,67%,62%,79%,76%,71%,86%,79%,88%
Field_C,37.97,30.86,39.07,62206,67%,47.51,21.19,37.93,97%,79%,73%,60%,66%,74%,87%,76%,81%,94%,62%,96%,78%,83%,84%,87%,90%,88%,74%,64%,86%,73%,60%
Field_B,19.09,23.21,37.04,53361,95%,33.43,5.62,36.18,70%,64%,95%,89%,84%,98%,94%,89%,85%,89%,70%,93%,77%,88%,76%,70%,64%,85%,86%,87%,67%,81%,99%
Field_E,12.28,30.78,41.85,92368,77%,40.42,10.75,13.77,67%,97%,71%,82%,95%,89%,90%,98%,66%,68%,64%,63%,98%,78%,95%,68%,86%,71%,97%,100%,100%,65%,86%
Field_B,36.44,20.47,66.06,97458,86%,33.48,23.11,11.75,95%,69%,97%,91%,69%,77%,94%,92%,62%,87%,77%,68%,87%,90%,75%,85%,92%,60%,93%,69%,91%,93%,91%
Field_B,34.06,31.57,41.89,15134,75%,13.2,22.3,15.92,76%,72%,67%,71%,100%,76%,68%,89%,84%,91%,74%,67%,75%,84%,74%,65%,89%,68%,79%,73%,93%,93%,76%
Field_D,16.32,26.05,66.71,43824,83%,48.51,8.0,12.83,81%,84%,81%,61%,77%,96%,95%,64%,97%,87%,97%,92%,81%,92%,70%,77%,60%,71%,76%,75%,63%,99%,73%
Field_D,28.33,25.17,60.61,34710,69%,45.25,16.71,35.04,64%,65%,92%,85%,93%,95%,61%,84%,76%,87%,84%,74%,61%,88%,87%,75%,68%,98%,64%,83%,88%,63%,97%
Field_D,16.35,28.26,55.18,26564,100%,22.58,16.43,13.93,69%,75%,67%,83%,94%,84%,64%,81%,83%,86%,70%,61%,68%,99%,84%,99%,72%,92%,91%,95%,65%,92%,98%
Field_D,21.13,32.4,36.91,85442,86%,37.23,16.85,13.8,60%,77%,70%,73%,67%,80%,61%,84%,76%,71%,84%,81%,96%,93%,76%,85%,82%,96%,65%,98%,76%,80%,70%
Field_A,13.95,25.49,39.96,23755,63%,42.19,8.33,12.46,89%,79%,69%,89%,77%,70%,90%,71%,83%,91%,84%,63%,70%,79%,91%,98%,95%,91%,73%,86%,94%,81%,83%
Field_E,36.38,32.79,36.77,55004,77%,40.63,15.62,22.02,88%,99%,76%,79%,91%,82%,89%,83%,86%,67%,96%,83%,66%,84%,62%,88%,93%,75%,88%,94%,85%,96%,63%
Field_E,37.61,29.09,53.57,64600,71%,14.83,20.24,33.43,81%,80%,84%,82%,93%,74%,92%,93%,69%,83%,82%,96%,94%,71%,100%,85%,79%,95%,67%,66%,65%,61%,77%
Field_D,15.99,33.66,30.91,27621,98%,29.18,21.7,33.6,88%,100%,86%,82%,95%,77%,66%,91%,81%,90%,71%,62%,66%,98%,75%,69%,62%,90%,87%,61%,76%,86%,99%
Field_C,39.08,33.33,54.28,52077,72%,23.78,9.71,18.37,67%,70%,93%,74%,60%,99%,100%,97%,98%,60%,68%,78%,84%,72%,76%,76%,69%,86%,89%,82%,81%,65%,65%
Field_A,34.54,28.76,61.65,87562,100%,30.69,15.31,35.53,97%,77%,91%,88%,91%,72%,73%,65%,63%,70%,85%,100%,73%,62%,98%,90%,99%,63%,84%,74%,89%,73%,73%
Field_C,11.87,21.13,37.1,72583,92%,18.04,7.93,17.24,87%,79%,62%,85%,85%,72%,73%,65%,82%,65%,95%,95%,91%,97%,94%,100%,77%,77%,81%,72%,97%,88%,61%
Field_A,11.07,27.11,62.08,33546,96%,31.74,14.49,35.16,99%,100%,76%,69%,90%,67%,99%,71%,70%,84%,86%,67%,76%,86%,81%,68%,86%,89%,88%,86%,92%,75%,67%
